Topic,Count,Name,Representation,Representative_Docs,Topic_Label
9,201,9_jerky_beef_oberto_piece,"['jerky', 'beef', 'oberto', 'piece', 'meat', 'strip', 'link', 'jack', 'peppered', 'teriyaki']","['oberto ashamed putting jerky embarrassed calling jerky thin completely flavorless aside form hint soy sauce stale yuck used buy lot oberto jerky though switched turkey jerky lately tried never jerky garbage even dog would dare chew since family eat jerky different taste jerky end buying lot different brand type one liked one even remotely close many comparably priced jerky brand wasting money junk', 'let say first family keep high protein low carb diet eat lot jerky month avg lb tried vast majority jerky tell jerky bad idea anyone leave jerky positive mention gleaming review must first time trying jerky first nothing natural jerky noticed packaging used say natural know say naturally hickory smoked care jerky much naturally smoking make difference jerky full salt jerky packed msg mean packed jerky quite greasy note bulk packaging bag bit better smaller bag meat type bulk bag different yes company absolutely zero consistency take chunk bulk bag see different kind meat wil moist chewy others nothing rubber thick tendon running quite marbled find piece liking back searching lucky chunk smaller bag especially teriyaki greasy much coating taste chemical way get meat flavor call give jerky meat consistency total crap shoot find lot better tasting jerky price range even middle road obertos much better stuff wild ride jerky joke gross buy risk know buying truly chemically processed preserved jerky full msg ther additive cowboy stips bag well exactly strip bag rest jerky shaving bitsnpieces similar oberto sell bulk package salad topper shaving jerky strip tried every flavor bulk packaged variety hold true every single package', 'beef jerky taste beef jerky little flavor flavor taste chemical avoid would eat free']",Beef Jerky Varieties
10,176,10_popcorn_kernel_popper_popped,"['popcorn', 'kernel', 'popper', 'popped', 'pop', 'popping', 'hull', 'orville', 'northern', 'corn']","['popcorn color cheese popcorn certainly taste cheese popcorn buying', 'excited getting organic popcorn want get away gmo food popcorn horrible though pop air popper half kernel hard partially popped husband know bought new kind popcorn eating said wrong popcorn horrible agree definitely buy something different next time', 'ordered little bambino popcorn popper along box popcorn item arrived right christmas love prime promised popcorn popper breeze set got girlfriend love popcorn reason low review popcorn horrible tough chewy ended many kernel popped popcorn tried excuse since first time using machine bag later popcorn still tough chewy first batch mention popcorn way salty result much popping hear popcorn popper stop popping popcorn supposed turn popper burn left popper jammed popcorn oil first popcorn get burned drop popper tried alter step different way hoping popcorn would come better work gonna give redenbacher shot next need figure cancel popcorn subscription']",Popcorn Preparation
11,172,11_sauce_curry_spicy_hot,"['sauce', 'curry', 'spicy', 'hot', 'pesto', 'chili', 'indian', 'heat', 'taco', 'basil']","['looking sweet sour sauce chicken based review took chance well one family like stuff taste nothing sweet sour sauce say chili sauce stuck two huge bottle sometimes reading label really matter', 'bought hot sauce salt free trying eliminate much salt possible diet worst tasting hot sauce ever life know going taste regular hot sauce think would actually make food taste worse sorry would recommend hot sauce', 'look hot sauce want something add heat plain simple overpowering flavor simply pleasant background upon serve heat use hot sauce accent flavor food eating heat amongst hot sauce market sauce claim xxxx habanero hot provide heat sauce usually use small drop hot sauce food sauce able literally eat tablespoon without true heat sensation gave month old son even raise eyebrow exaggerating misusing word literally put large dose mac cheese eating let youngest bite even seem notice difference taste want sauce added sparingly provide heat without changing masking defining flavor whatever dish eating sauce would impossible add enough sauce create desired heat level without burying food since sauce straight bottle high end mild doubt could ever add enough hot sauce labeled xxxx habanero hot high end hot sauce nowhere even close mislabeled properly labeled would wasted money one hot']",Spicy Sauce Options
12,171,12_salt_salty_sodium_pink,"['salt', 'salty', 'sodium', 'pink', 'da', 'serving', 'himalayan', 'sea', 'spice', 'pretzel']","['grandson born diogenes able retire seek sleep deserved searching many century honest man grandson speaks mind eloquently succintly upon arrival order href http www com lnhq funfresh food real food trading company himalayan pink sea salt pound quietly served family meal almost instantly grandson asked put sand salt smiled chuckled told one put anything salt special pink salt half way around world sand grandpa replied nay nay assured everyone let show drew small glass filtered water added liberal amount pink salt btw cola bottled water asani much come source tap water swirled pink salt around water let mention degree science bunch lot chemistry course know table salt sodium chloride nacl really really soluble water well much stirring got quite bit pink insoluble grain bottom glass disturbing liquid cloudy watching couple hour nothing settling keep watching cloudy water mean either fine particulate settle time something else salt completely water soluble colloidal make feel understanding table salt produced crystallizing salt saline solution either natural sea water man made difference regular table salt least kosher salt regular salt allowed crystallize undisturbed form cubical crystal kosher salt must raked entire crystallizing process thus forming light flaky crystal familiar form appears mined mineral contains high nacl content refined finely ground perhaps hope end user notice also contains rock sand whatever make himalaya claim contain less sodium may well true lower sodium content ground rock sand returning inferior advertised might fine live stock salt lick fit human consumption many hour later cloudiness clearing conclusion caused small particle took longer fall suspension nevertheless sediment sediment sediment salt another example low price bargain', 'used quality salt year always especially loved pink salt variety ordered one much cheaper others well one taste pink salt past upon tasting also realized salt pink believe enhanced way never seen salt look way hey entirely possible truly color without additive went source wrote company find week ago never bothered respond assuming back claim truly himalayan pink sea salt funny every container salt ever purchased ingredient list one pure ingredient obviously one ingredient salt sometimes even sea salt added anti caking agent added listed anyway wonderful refunded salt purchase different brand', 'used quality salt year always especially loved pink salt variety ordered one much cheaper others well one taste pink salt past upon tasting also realized salt pink believe enhanced way never seen salt look way hey entirely possible truly color without additive went source wrote company find week ago never bothered respond assuming back claim truly himalayan pink sea salt funny every container salt ever purchased ingredient list one pure ingredient obviously one ingredient salt sometimes even sea salt added anti caking agent added listed anyway wonderful refunded salt purchase different brand']",Himalayan Salt Characteristics
13,156,13_toy_ball_treat_rope,"['toy', 'ball', 'treat', 'rope', 'minute', 'kong', 'dog', 'chewed', 'rubber', 'chewer']","['got everyone say great dog play alone dog several treat dispensing toy keep busy href http www com atomic treat ball interactive dog toy inch href http www com aruktg ourpets smarter toy treat ball inch color may vary kong puppy kong toy medium really well atomic favorite kong coming close second really work get stuff tug jug work though put tiny treat physically impossible get treat lucky rope catch one treat might able wiggle one way would still require holding jug tugging rope hardly ever happens work tip jug get anything well dog since thumb glad got clearance cv otherwise little peeved paying much toy work', 'year old lab destructive aggressive chewer seemed great idea since ball crazy love treat minute treat gone ball piece cheap old rubber toy last much longer buy toy get bag treat instead', 'originally purchased item back march last year worked great yellow lab dispensing meal day version toy actual rope coming jug half year rope wore given low price toy satisfied month heavy use recommended friend purchased replacement end last year unfortunately manufacturer changed toy rubber rope place original fiber one toy lasted minute dog completely chewed making toy nearly useless star original version new unimproved']",Dog Chew Toys
14,151,14_noodle_pasta_sauce_spaghetti,"['noodle', 'pasta', 'sauce', 'spaghetti', 'texture', 'thai', 'wheat', 'korean', 'ramen', 'rinsed']","['excited receive miracle noodle husband limiting carbohydrate opened first bag noodle ship kind liquid odor putting washed blanched dried noodle instructed package proceeded prepare one favorite singapore noodle figured even flavor rice noodle strong curry shrimp onion garlic ginger flavor would help disguise found case noodle absorb flavor rice noodle mouth feel tough spongy neither liked noodle especially high cost', 'annie chun noodle bowl bowl tray noodle express line us lot actually add water steam fresh packed noodle drain add sauce read microwave instruction particular almost thought messed left part adding water noodle since never decided follow direction see turned well turned bad heh noodle really conducive breaking apart microwaving unless noodle tiny little piece almost impossible evenly distribute sauce noodle microwaving half noodle dry packed together whereas half texture completely saturated sauce little strong taste anyways plus dried vegetable little packet get reconstituted almost hard chew happened buy product time going try steaming noodle water next one otherwise would never give another chance edited add june tried steaming noodle veggie packet added warm water way tray microwaved min drained noodle added sauce packet nuked another second came immensely better sauce flavor still bit intense tried teryaki version time better first thought would put correct cooking direction box', 'actually bought white noodle along brown shirataki noodle try threw noodle along bag help gag stench noodle rinse make wonder earth noodle smell bad first place whatever noodle making smell chemical want body thing must bad even sell anymore company']",Noodle Varieties
15,147,15_peanut_butter_almond_oil,"['peanut', 'butter', 'almond', 'oil', 'jar', 'nut', 'calorie', 'walden', 'fat', 'taste']","['gross would definitely buy ever texture nasty flavor peanut butter stick real natural peanut butter worth calorie', 'bought brand favorite brand sold thought would try something new mistake peanut butter entirely peanut peanut mixed oil organic want organic peanut butter want made peanut got crunchy love nut crunchy peanut butter really smooth slightly peanut flavored oil nut mixed dont waste money stuff gross gross gross never purchase', 'bought husband dieting beloved peanut butter used sparingly first use thinking might strong tasted chemical peanut butter increased amount baking taste peanut butter smell peanut butter peanut flavor got']",Nut Butters
16,129,16_soup_miso_broth_campbell,"['soup', 'miso', 'broth', 'campbell', 'vegetable', 'potato', 'chunky', 'chicken', 'tomato', 'snapper']","['found chicken soup tasted terrible texture soup fan low sodium tomato soup', 'lipton soup soup box small soup great tasting would recommend', 'lipton soup soup box small soup great tasting would recommend']",Soup Varieties
17,127,17_cheese_mac_cheddar_kraft,"['cheese', 'mac', 'cheddar', 'kraft', 'annie', 'macaroni', 'pasta', 'sauce', 'broccoli', 'nacho']","['disappointed dairy free mac cheese would make mac cheese always melt butter add mix milk tried soy regular mix sauce pan upset first price tasted terrible done mac cheese mix something wrong calling mac cheese elbow whatever sauce taste card board used lot different soy cheese non dairy mix awful waste money', 'say cheese sauce powder expecting cheese sauce mix powdered cheese flavor add sauce make', 'tried cheese doesnt taste anything real cheese even soy cheese eating']",Macaroni Dishes
18,126,18_cup_keurig_ground_coffee,"['cup', 'keurig', 'ground', 'coffee', 'needle', 'brewer', 'kcups', 'problem', 'brewing', 'machine']","['coffee taste flavorful strong say almost ruined month old keurig personal brewer coffee ground finely cup punctured needle top bottom get packed needle also sifts hole made needle going coffee cup creating nasty sludge bottom cup purchased pack cup even use one full pack recommend brand blend waste money something really afford time sent letter complaint wolfgang puck company except cookie cutter letter acknowledging receipt comment received contact', 'coffee taste flavorful strong say almost ruined month old keurig personal brewer coffee ground finely cup punctured needle top bottom get packed needle also sifts hole made needle going coffee cup creating nasty sludge bottom cup purchased pack cup even use one full pack recommend brand blend waste money something really afford time sent letter complaint wolfgang puck company except cookie cutter letter acknowledging receipt comment received contact', 'coffee taste flavorful strong say almost ruined month old keurig personal brewer coffee ground finely cup punctured needle top bottom get packed needle also sifts hole made needle going coffee cup creating nasty sludge bottom cup purchased pack cup even use one full pack recommend brand blend waste money something really afford time sent letter complaint wolfgang puck company except cookie cutter letter acknowledging receipt comment received contact']",Coffee Brewing Issues
19,123,19_expiration_date_expired_month,"['expiration', 'date', 'expired', 'month', 'shelf', 'expire', 'received', 'short', 'stale', 'april']","['give negative amount star love cooky bought expiration date always month away love problem eating six package short time time got shipment may cooky best used march date sunk shipping good past expiration date eaten yet kind turned idea two month beyond date taken shelf never buy unless assure fresh', 'came expiration date month need send bad product sell', 'received order expiration date expired item food item expiration date expired sent customer would cost much return item initially paid item shipping charge food product expiration date checked properly sending customer find ripped']",Expiration Concerns
20,123,20_smell_dog_treat_chicken,"['smell', 'dog', 'treat', 'chicken', 'smelled', 'lickety', 'stik', 'carpet', 'comfortable', 'wad']","['smell horrible bought bag expecting smell chicken instead got huge whiff gross chemical smell even give dog felt smell wrong call crazy natural dog treat smell chemical plus heck chemical name end ingredient list sound natural think sticking natural pup since treat actually smell flavor supposed way healthier', 'much dog enjoyed lickety stik cloying stench savory chicken repulsed rest family odor wafted stick filled room musky air freshener called icky stik stinky stik experience nauseating one volunteered reopen stick despite plea dog tested petsafe lickety stik part vine program say arrived free company sent savory chicken flavor tested cockapoo miniature schnauzer adult female neither dog trouble figuring advance roller ball could taste liquid one warning get stuff hand play heck trying wash collective shudder ran family wondered savory chicken smell bad imagine inhaling deep whiff braised liver smoky bacon worse yet company tout portability recommends carrying purse bit risk since stuff bottle hardly perfume company say lickety stick consists natural ingredient list bottle natural chicken flavor cultured milk lecithin mixed tocopherois natural preservative source vitamin ascorbyl palmtate source vitamin rosemary extract green tea extract summary many better option available dog treat cannot recommend lickety stick foul smell sticky ingredient serious risk purse bottle leak rating one star', 'much dog enjoyed lickety stik cloying stench savory chicken repulsed rest family odor wafted stick filled room musky air freshener called icky stik stinky stik experience nauseating one volunteered reopen stick despite plea dog tested petsafe lickety stik part vine program say arrived free company sent savory chicken flavor tested cockapoo miniature schnauzer adult female neither dog trouble figuring advance roller ball could taste liquid one warning get stuff hand play heck trying wash collective shudder ran family wondered savory chicken smell bad imagine inhaling deep whiff braised liver smoky bacon worse yet company tout portability recommends carrying purse bit risk since stuff bottle hardly perfume company say lickety stick consists natural ingredient list bottle natural chicken flavor cultured milk lecithin mixed tocopherois natural preservative source vitamin ascorbyl palmtate source vitamin rosemary extract green tea extract summary many better option available dog treat cannot recommend lickety stick foul smell sticky ingredient serious risk purse bottle leak rating one star']",Dog Treat Smell
21,119,21_bone_chew_dog_throat,"['bone', 'chew', 'dog', 'throat', 'chewer', 'piece', 'choking', 'chewed', 'swallowed', 'minute']","['year old lab shepard mix active chewer ordered cet chew keep teeth clean absolutely love flavor rawhide thin tear half try swallow large piece first time thought maybe one time deal saw choking stuck hand throat remove piece rawhide blocking throat today choked able pull effort must shoved could breath scary moment see dog choking gasping air dog looking help throat cleared laid lap minute guessing traumatized threw rest bag trash dog also loose stool whenever ate sensitive stomach certain food sure result vary stick brushing teeth getting teeth annually vet dog pound year old lab shepard mix eats beef orijen food blended california natural edit dog taro three half see chew vet clinic also see really great review sure work people dog people love urge cautious purchase chew stay dog chewing wanted edit review risk high chew felt compelled warn potential buyer think manufacturer minimum put strong warning front bag warn owner pose major choking hazard dog would responsible thing pet product regulated product human use people view pet child essential life made child danger would make news force manufacturer address choking hazard also seems fishy almost star review people review product plus number useful vote usually less vote seems reviewer fake seems fishy hope case would toying danger killing dog', 'month old french bulldog puppy almost died first bone tonight chewed attempted swallow piece big throat began gagging throwing stick hand throat push lodged bone stomach scary upset greatly recommend bone even choking warning back small writing keep pet safe purchase much bigger bone take away anything small cannot choke get hurt', 'month old french bulldog puppy almost died first bone tonight chewed attempted swallow piece big throat began gagging throwing stick hand throat push lodged bone stomach scary upset greatly recommend bone even choking warning back small writing keep pet safe purchase much bigger bone take away anything small cannot choke get hurt']",Dog Chew Hazards
22,117,22_instant_coffee_cup_price,"['instant', 'coffee', 'cup', 'price', 'cent', 'starbucks', 'pay', 'bath', 'filter', 'keurig']","['get pay resist price coffee much less expensive bad coffee try know bad get started brew noticed brew coming keurig nearly clear water sign tasted terrible old instant coffee drank year ago cut open cup nothing left inside instant coffee cut open unused cup sure enough looked instant coffee drank year ago coffee crystal coffee ground read packaging carefully fact say instant coffee well cup instant waste money horrible stuff', 'defeat purpose cup instant coffee much expensive normal instant coffee either get instant coffee cheaper cup real coffee money brew regular coffee', 'bought box grove square medium roast thought great price cup coffee right opened box thought cup light course light filled instant coffee amount instant coffee got could bought jar price got time type coffee expect real coffee pay around cup']",Instant Coffee Pricing
